# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS,FF QOS,Afib,Active Calories,Stress,Power
684000,34,49,13,40,410,0,0,95,91,6,0,8,115712
704000,35,50,13,30,418,0,0,95,91,1,0,10,133120
724000,36,51,12,50,416,0,0,95,91,1,0,8,107520
744000,37,49,12,50,422,0,0,95,92,3,0,12,113664
764000,38,51,14,40,426,0,0,95,91,1,0,12,111616
784000,39,49,14,40,421,0,0,95,92,1,0,10,115712
804000,40,48,13,40,428,0,0,95,91,3,0,9,117760
824000,41,51,15,30,430,0,0,95,90,1,0,11,120832
844000,42,51,14,30,420,0,0,95,91,1,0,12,95232
864000,43,51,13,40,420,0,0,95,91,1,0,11,53248
885000,44,48,12,30,413,0,0,95,91,3,0,11,47104
905000,45,49,12,50,428,0,0,95,86,3,0,9,60416
925000,46,49,13,40,416,0,0,95,92,3,0,10,49152
945000,47,49,13,50,423,0,0,95,87,1,0,6,61440
965000,48,49,12,40,412,0,0,95,91,1,0,6,47104
985000,49,49,11,50,425,0,0,95,91,3,0,11,47104
1005000,50,49,12,40,422,0,0,95,86,3,0,13,59392
1025000,51,49,11,30,426,0,0,95,92,3,0,12,54272
1045000,52,49,11,40,425,0,0,95,92,3,0,5,52224
1065000,53,49,13,40,431,0,0,95,92,3,0,6,52224
1086000,54,47,14,30,408,0,0,95,91,3,0,10,52224
1106000,55,47,12,40,420,0,0,95,91,3,0,8,51200
1126000,56,48,13,30,430,0,0,95,92,3,0,9,47104
1146000,57,48,12,40,428,0,0,95,91,3,0,9,69632
1166000,58,49,14,30,428,0,0,95,91,3,0,7,50176
1186000,59,48,14,40,421,0,0,95,91,3,0,6,64512
1206000,60,49,14,50,418,0,0,95,92,3,0,8,55296
1226000,61,48,14,40,425,0,0,95,91,3,0,10,51200
1246000,62,48,13,40,430,0,0,95,91,3,0,8,60416
1266000,63,47,12,40,414,0,0,95,85,3,0,7,54272
1287000,64,48,11,50,420,0,0,95,91,3,0,7,56320
1307000,65,50,13,30,425,0,0,95,86,3,0,8,65536
1327000,66,48,13,40,426,0,0,95,91,3,0,9,59392
1347000,67,49,13,30,431,0,0,95,92,3,0,8,47104
1367000,68,47,13,40,423,0,0,95,92,3,0,8,59392
1387000,69,47,12,50,436,0,0,95,91,3,0,8,64512
1407000,70,50,12,40,429,0,0,95,91,3,0,9,60416
1427000,71,48,12,50,423,0,0,95,91,3,0,10,52224
1447000,72,49,12,20,433,0,0,95,91,3,0,8,58368
1467000,73,50,13,30,428,0,0,95,85,3,0,11,48128
1488000,74,48,12,40,430,0,0,95,92,3,0,9,61440
1508000,75,48,11,40,428,0,0,95,91,3,0,9,58368
1528000,76,48,11,50,426,0,0,95,92,3,0,11,50176
1548000,77,48,12,40,437,0,0,95,92,3,0,8,54272
1568000,78,53,12,50,447,0,0,95,91,3,0,8,46080
1588000,79,48,12,40,419,0,0,95,92,1,0,11,47104
1608000,80,47,12,40,433,0,0,95,91,3,0,8,56320
1628000,81,47,13,40,424,0,0,95,90,3,0,8,83968
1648000,82,54,13,40,423,0,0,95,92,6,0,9,113664
1668000,83,47,12,40,434,0,0,95,91,3,0,10,110592
1689000,84,48,11,40,410,0,0,95,90,3,0,4,98304
1709000,85,47,12,30,419,0,0,95,92,3,0,5,99328
1729000,86,48,11,40,421,0,0,95,92,3,0,8,91136
1749000,87,49,11,40,430,0,0,95,90,3,0,9,104448
1769000,88,47,11,40,417,0,0,95,85,3,0,11,93184
1789000,89,50,12,40,442,0,0,95,92,3,0,13,106496
1809000,90,53,11,40,436,0,0,95,93,3,0,11,105472
1829000,91,48,11,30,425,0,0,95,90,1,0,7,100352
1849000,92,48,12,30,427,0,0,95,91,3,0,7,105472
1869000,93,51,12,30,432,0,0,95,91,3,0,10,97280
1890000,94,48,12,40,427,0,0,95,92,3,0,13,103424
1910000,95,53,12,30,436,0,0,95,89,1,0,6,102400
1930000,96,48,12,40,425,0,0,95,90,1,0,7,103424
1950000,97,44,12,20,414,0,0,95,91,3,0,5,96256
1970000,98,46,13,40,420,0,0,95,86,3,0,5,104448
1990000,99,48,12,40,433,0,0,95,91,3,0,0,103424
2010000,100,50,12,40,433,0,0,95,91,6,0,0,101376
2030000,101,50,11,30,423,0,0,95,92,1,0,14,102400
2050000,102,50,12,50,425,0,0,95,91,1,0,10,106496
2070000,103,48,11,30,413,0,0,95,92,3,0,9,106496
2091000,104,49,13,30,459,0,0,95,91,1,0,8,97280
