# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS,FF QOS,Afib,Active Calories,Stress,Power
3297000,164,71,12,60,393,0,0,95,93,6,0,22,94208
3317000,165,58,14,70,431,0,0,95,78,6,0,14,112640
3337000,166,61,13,70,362,0,0,95,92,6,0,11,115712
3357000,167,64,13,70,457,0,0,95,89,6,0,29,99328
3377000,168,67,14,50,451,113,20,95,89,1,0,30,130048
3397000,169,74,11,90,445,111,18,95,80,6,0,30,130048
3417000,170,71,12,80,436,113,30,95,87,6,0,30,160768
3437000,171,71,13,60,460,110,40,95,78,6,0,30,133120
3457000,172,70,11,100,511,0,0,95,78,6,0,37,126976
3478000,173,54,11,70,403,0,0,95,87,6,0,17,93184
3498000,174,56,14,60,421,0,0,95,90,6,0,12,120832
3518000,175,53,14,40,402,0,0,95,90,1,0,12,142336
3538000,176,56,13,60,395,0,0,95,91,1,0,13,147456
3558000,177,54,12,60,381,0,0,95,91,1,0,13,123904
3578000,178,55,12,50,393,0,0,95,92,1,0,12,126976
3598000,179,53,12,70,395,0,0,95,87,1,0,14,87040
3618000,180,52,14,60,391,0,0,95,91,1,0,15,72704
3638000,181,54,12,60,390,0,0,95,92,1,0,15,62464
3658000,182,54,15,60,400,0,0,95,92,1,0,16,56320
3679000,183,54,13,50,398,0,0,95,92,1,0,15,86016
3699000,184,55,14,60,405,0,0,95,92,1,0,14,103424
3719000,185,55,16,40,404,0,0,95,92,1,0,15,129024
3739000,186,58,15,50,417,0,0,95,92,1,0,17,149504
3759000,187,56,14,40,389,0,0,95,91,1,0,18,143360
3779000,188,56,13,50,394,0,0,95,92,1,0,17,139264
3799000,189,57,12,40,401,25,0,95,90,1,0,19,135168
3819000,190,59,13,30,422,0,0,95,90,6,0,13,121856
3839000,191,59,13,20,439,0,0,95,71,6,0,13,125952
3859000,192,70,15,100,445,91,44,95,90,1,0,9,136192
3880000,193,78,15,30,505,83,46,95,83,6,0,39,119808
3900000,194,71,15,80,456,90,46,95,82,6,0,37,113664
3920000,195,71,15,10,454,94,38,95,88,1,0,37,125952
3940000,196,68,12,0,408,98,34,85,58,6,0,37,138240
3960000,197,0,10,0,457,83,68,50,54,6,0,0,114688
3980000,198,66,12,60,455,123,58,82,82,0,0,33,179200
4000000,199,67,12,80,412,185,2,95,95,0,0,26,111616
4020000,200,64,12,60,396,0,0,95,87,0,0,21,137216
4040000,201,62,12,70,435,33,78,95,83,1,0,16,153600
4060000,202,65,16,60,442,102,42,95,92,6,0,9,108544
4081000,203,66,16,70,417,50,110,95,90,6,0,21,143360
4101000,204,71,16,60,445,92,58,95,89,6,0,24,114688
4121000,205,68,19,40,419,19,6,95,91,6,0,18,98304
4141000,206,68,16,50,426,94,34,95,94,6,0,18,122880
4161000,207,66,15,60,417,148,4,95,89,1,0,31,130048
4181000,208,73,15,70,433,90,38,95,93,1,0,42,142336
4201000,209,75,14,70,436,84,46,95,93,1,0,59,112640
4221000,210,72,14,80,419,84,24,95,86,1,0,59,117760
4241000,211,65,15,60,451,66,12,95,90,1,0,33,101376
4261000,212,69,16,60,426,89,18,95,93,1,0,32,104448
4282000,213,67,17,50,449,101,46,95,88,1,0,31,140288
4302000,214,81,16,50,444,97,42,95,96,6,0,35,120832
4322000,215,69,15,80,408,48,96,95,90,6,0,49,110592
4342000,216,70,14,60,403,161,6,95,92,1,0,4,163840
4362000,217,68,15,80,409,97,46,95,91,6,0,14,119808
4382000,218,66,17,60,413,98,72,95,92,6,0,25,102400
4402000,219,63,16,50,392,0,0,95,89,1,0,25,103424
4422000,220,63,17,50,412,0,0,95,91,6,0,13,107520
4442000,221,66,19,50,397,0,0,95,87,6,0,15,92160
4462000,222,64,16,60,390,0,0,95,92,6,0,15,107520
4483000,223,64,13,60,403,0,0,95,88,1,0,28,95232
4503000,224,66,12,40,411,0,0,95,93,1,0,36,97280
4523000,225,64,13,50,406,0,0,95,93,1,0,39,108544
4543000,226,68,14,50,419,0,0,95,93,1,0,50,97280
4563000,227,69,13,60,416,0,0,95,89,1,0,41,102400
4583000,228,65,12,60,410,0,0,95,92,1,0,37,106496
4603000,229,64,12,50,398,0,0,95,92,1,0,35,106496
4623000,230,64,11,50,405,0,0,95,93,1,0,40,80896
4643000,231,63,12,60,409,0,0,95,93,1,0,36,103424
4663000,232,65,12,50,405,0,0,95,93,1,0,38,95232
4684000,233,63,12,60,406,0,0,95,93,1,0,42,88064
4704000,234,77,13,50,444,0,0,95,88,1,0,39,131072
4724000,235,70,12,60,409,105,26,95,95,6,0,27,143360
4744000,236,69,15,60,413,38,144,95,92,6,0,21,123904
4764000,237,68,16,60,417,0,0,95,92,6,0,26,106496
4784000,238,68,15,70,407,0,0,95,91,6,0,31,121856
4804000,239,67,17,70,423,0,0,95,93,6,0,24,101376
4824000,240,70,15,60,421,0,0,95,93,1,0,34,100352
4844000,241,70,15,60,408,0,0,95,92,6,0,30,104448
4864000,242,68,15,70,407,0,0,95,89,6,0,28,117760
4885000,243,66,13,60,390,0,0,95,92,1,0,32,101376
4905000,244,66,13,70,400,0,0,95,92,1,0,31,92160
4925000,245,64,13,70,403,0,0,95,89,1,0,34,106496
4945000,246,68,13,70,407,0,0,95,93,1,0,29,115712
4965000,247,63,12,60,400,0,0,95,93,1,0,27,113664
4985000,248,65,13,90,412,0,0,95,92,1,0,31,121856
5005000,249,71,17,80,416,0,0,95,91,6,0,31,108544
5025000,250,72,16,70,412,0,0,95,93,6,0,17,124928
5045000,251,72,14,70,420,0,0,95,93,6,0,32,146432
5065000,252,73,15,70,412,0,0,95,93,1,0,31,142336
5086000,253,74,15,70,417,62,10,95,93,1,0,38,145408
5106000,254,71,15,80,409,102,20,95,92,1,0,31,148480
5126000,255,79,16,90,438,0,0,95,91,6,0,20,144384
5146000,256,79,15,90,408,0,0,95,94,6,0,34,145408
5166000,257,68,14,80,386,0,0,95,93,6,0,39,94208
5186000,258,65,17,70,383,0,0,95,92,1,0,29,128000
5206000,259,71,17,80,410,179,24,95,89,1,0,28,122880
5226000,260,71,15,70,382,96,28,95,91,1,0,27,108544
